"Time","129.57.177.136:8088"
2024-06-11 21:59:00,2145
2024-06-11 21:59:15,2156
2024-06-11 21:59:30,2147
2024-06-11 21:59:45,2177
2024-06-11 22:00:00,2112
2024-06-11 22:00:15,2124
2024-06-11 22:00:30,2167
2024-06-11 22:00:45,2174
2024-06-11 22:01:00,2188
2024-06-11 22:01:15,2140
2024-06-11 22:01:30,2159
2024-06-11 22:01:45,2133
2024-06-11 22:02:00,2141
2024-06-11 22:02:15,2152
2024-06-11 22:02:30,2172
2024-06-11 22:02:45,2130
2024-06-11 22:03:00,2144
2024-06-11 22:03:15,2166
2024-06-11 22:03:30,2152
2024-06-11 22:03:45,2168
2024-06-11 22:04:00,2132
2024-06-11 22:04:15,2170
2024-06-11 22:04:30,2127
2024-06-11 22:04:45,2147
2024-06-11 22:05:00,2154

