"Time","129.57.177.136:2221"
2024-06-11 16:37:15,1.92 ms
2024-06-11 16:37:30,1.99 ms
2024-06-11 16:37:45,2.04 ms
2024-06-11 16:38:00,1.94 ms
2024-06-11 16:38:15,1.71 ms
2024-06-11 16:38:30,1.87 ms
2024-06-11 16:38:45,1.89 ms
2024-06-11 16:39:00,1.98 ms
2024-06-11 16:39:15,1.78 ms
2024-06-11 16:39:30,1.58 ms
2024-06-11 16:39:45,1.58 ms
2024-06-11 16:40:00,1.43 ms
2024-06-11 16:40:15,2.01 ms
2024-06-11 16:40:30,1.86 ms
2024-06-11 16:40:45,2.03 ms
2024-06-11 16:41:00,1.98 ms
2024-06-11 16:41:15,2.03 ms
2024-06-11 16:41:30,1.73 ms
2024-06-11 16:41:45,2.07 ms
2024-06-11 16:42:00,1.87 ms
2024-06-11 16:42:15,1.53 ms
2024-06-11 16:42:30,1.74 ms
2024-06-11 16:42:45,1.81 ms
2024-06-11 16:43:00,1.81 ms
2024-06-11 16:43:15,1.62 ms
2024-06-11 16:43:30,1.82 ms
2024-06-11 16:43:45,2.08 ms
2024-06-11 16:44:00,1.79 ms
2024-06-11 16:44:15,1.89 ms
2024-06-11 16:44:30,1.85 ms
2024-06-11 16:44:45,1.89 ms
2024-06-11 16:45:00,1.74 ms
2024-06-11 16:45:15,1.91 ms
2024-06-11 16:45:30,1.79 ms
2024-06-11 16:45:45,2.02 ms
2024-06-11 16:46:00,2.04 ms
2024-06-11 16:46:15,2.15 ms
2024-06-11 16:46:30,2.06 ms
2024-06-11 16:46:45,1.83 ms
2024-06-11 16:47:00,2.00 ms
2024-06-11 16:47:15,2.17 ms
2024-06-11 16:47:30,1.92 ms
2024-06-11 16:47:45,1.94 ms
2024-06-11 16:48:00,1.47 ms
2024-06-11 16:48:15,2.07 ms
2024-06-11 16:48:30,1.74 ms

